1_grams,Frequency
debuts,127
celeb,127
akki,127
asked,127
lover,127
enough,127
stewart,127
feature,126
crew,126
english,126
october,126
bedi,126
pakistani,126
celebrations,126
intimate,126
sonali,126
11,126
royal,126
daggubati,126
naomi,126
student,126
hand,126
speaks,126
arrested,126
appearance,125
jackman,125
aaradhya,125
everyone,125
gym,125
health,125
stories,125
bhojpuri,125
buys,124
0,124
fake,124
jayasurya,124
leaked,124
works,124
anjali,124
sarah,124
past,124
smoking,124
singing,124
step,124
company,123
koechlin,123
tanushree,123
complaint,123
album,123
gears,123
green,123
furious,123
helped,123
disha,123
state,123
hate,123
advani,122
puja,122
went,122
2013,122
ra,122
gave,122
kid,122
tax,122
unveils,122
given,122
dwivedi,122
flaunts,122
aur,122
moore,121
wrong,121
cut,121
charity,121
final,121
january,121
luck,120
sameera,120
swara,120
designer,120
beats,120
opening,120
viral,120
inspires,120
sherawat,120
jiiva,120
mystery,119
bose,119
mode,119
wait,119
please,119
put,119
chakraborty,119
roped,119
force,118
tips,118
shreyas,118
glam,118
inspiration,118
certificate,118
main,118
difficult,118
learns,117
chief,117
puts,117
felt,117
west,117
anti,117
rituparna,117
patekar,117
kaushik,117
bhaijaan,116
assault,116
word,116
murder,116
bips,116
sweet,116
promises,116
holi,116
qureshi,116
receives,116
focus,115
football,115
dr,115
samrat,115
write,115
chaitanya,115
hydari,115
issue,115
chan,115
khans,115
lal,115
pauly,114
bonds,114
urges,114
rose,114
worked,114
thing,114
played,114
global,114
iffi,114
priyadarshan,114
alleged,114
floors,114
hum,113
vishwaroopam,113
kapil,113
fawad,113
strike,113
kind,113
place,113
stone,113
unique,113
shahrukh,113
also,113
till,113
manchu,112
ar,112
bajrangi,112
daddy,112
yes,112
wrap,112
pre,112
e,112
housefull,112
water,111
isha,111
sanjjanaa,111
rakesh,111
reese,111
reynolds,111
documentary,111
veteran,111
dog,111
gul,111
walks,110
dirty,110
highest,110
fit,110
hearts,110
might,110
nani,110
advice,110
jasoos,110
pulkit,110
patani,110
kunchacko,110
future,110
anne,110
lily,110
pak,110
students,110
kill,109
news,109
kulkarni,109
nadiadwala,109
hussain,109
living,109
lands,109
udta,109
hemsworth,109
idea,109
impressed,109
unveiled,108
pack,108
apte,108
sivakarthikeyan,108
prasad,108
salim,108
government,108
lessons,108
balakrishna,108
spends,108
plea,108
alive,108
december,108
santhanam,108
onscreen,108
harassment,108
russell,108
sharmila,108
na,108
pinto,107
dino,107
november,107
mithun,107
ishaan,107
beat,107
challenging,107
konkona,107
akshara,107
clean,107
fine,107
14,106
biju,106
entertainment,106
aryan,106
allen,106
celebration,106
everything,106
dangal,106
veena,106
shoes,106
cooper,106
meeting,106
dances,106
announces,106
lose,105
alone,105
tiwari,105
dwayne,105
ambareesh,105
winslet,105
jones,105
misses,105
starring,105
gangster,105
september,105
spend,105
touch,105
fresh,105
lives,105
warrier,105
bill,104
lawyer,104
promotions,104
chance,104
matt,104
heard,104
tej,104
tovino,104
eid,104
sure,104
banerjee,104
helps,104
original,104
fear,104
spree,103
tell,103
language,103
crosses,103
injury,103
moments,103
protest,103
aparna,103
amit,103
parties,103
asha,103
irani,103
ties,103
urmila,103
candid,102
pyaar,102
street,102
climax,102
commercial,102
entertainer,102
diet,102
topless,102
diana,102
fardeen,102
funny,102
mary,102
zoya,102
drew,102
thinks,102
aggarwal,101
tops,101
twins,101
dilwale,101
comic,101
crime,101
tendulkar,101
p,101
honey,101
birth,101
tells,101
paresh,101
himesh,101
karnataka,101
neeraj,101
ambassador,100
price,100
solo,100
williams,100
creates,100
connect,100
brangelina,100
kharbanda,100
came,100
rakul,100
demise,100
tweet,100
crores,100
rocks,100
weds,100
nayan,100
others,100
zafar,100
c,100
rumoured,99
clothes,99
kay,99
ratan,99
collects,99
fazal,99
stunts,99
cover,99
remade,99
bodyguard,99
jayaram,99
padma,99
sienna,99
alba,99
ways,99
reason,99
something,99
studio,98
gone,98
abbas,98
naga,98
athiya,98
n,98
despite,98
temple,98
former,98
amanda,98
light,98
sexiest,98
atul,98
letter,98
venkat,98
buy,98
anything,98
human,98
opts,97
13,97
expecting,97
ashutosh,97
boman,97
salmaan,97
months,97
valentine,97
hotel,97
iulia,97
nazriya,97
delayed,97
president,97
shiney,97
roberts,97
famous,97
000,97
di,97
sam,97
captain,97
audiences,96
bhaskar,96
mohit,96
towards,96
nag,96
nikki,96
country,96
youth,96
faasil,96
words,96
40,96
javed,96
beckham,96
negative,96
among,96
hurley,95
mission,95
warsi,95
thank,95
thrilled,95
use,95
problem,95
bhagnani,95
someone,95
hold,95
try,95
holmes,95
confirmed,94
stunt,94
helen,94
sign,94
gulzar,94
remo,94
flying,94
point,94
note,94
bhagat,94
vir,94
ritesh,94
17,94
academy,94
self,94
major,94
leading,94
abuse,94
jackky,94
deva,94
gabbar,94
season,93
yuvraj,93
competition,93
radcliffe,93
singham,93
china,93
blessed,93
diaz,93
ropes,93
blast,93
concert,93
wrapped,93
keira,93
train,93
scores,93
skills,93
harshvardhan,93
eye,93
anyone,93
watson,93
games,92
dubbed,92
joy,92
se,92
demand,92
filmi,92
heroines,92
comment,92
respect,92
murugadoss,92
susan,92
dancer,92
bhavana,92
laugh,92
vidyut,92
relief,92
learning,92
cup,92
mehra,92
nine,92
patch,91
minissha,91
18,91
charlize,91
shoojit,91
milind,91
naked,91
hottest,91
hanks,91
offer,91
hurt,91
freedom,91
taken,91
security,91
common,91
salma,91
jayam,91
blue,91
brothers,91
oru,91
create,91
meera,91
tweets,91
told,91
history,91
serious,91
makeover,91
devdas,91
drug,91
golmaal,91
bail,90
srijit,90
intense,90
content,90
chetan,90
cm,90
haydon,90
snapped,90
spider,90
boney,90
doctor,90
sarja,90
goody,90
thomas,90
lesser,90
far,90
devi,90
mourns,90
admits,90
elizabeth,90
sends,90
sengupta,90
friday,90
drive,90
rules,90
lip,90
siva,89
bengal,89
sawant,89
kishan,89
21,89
jamie,89
early,89
ugly,89
mein,89
bag,89
aanand,89
statement,89
meghana,89
vicky,89
inside,89
replace,89
vantur,89
private,89
yeh,89
ayesha,89
kishore,88
nostalgic,88
dubbing,88
prefers,88
receive,88
bo,88
class,88
2012,88
souza,88
garner,88
anirudh,88
travel,88
judwaa,87
daisy,87
venkatesh,87
save,87
amber,87
prachi,87
gowda,87
jimmy,87
bike,87
heat,87
ms,87
summer,87
link,87
bhumi,87
venture,87
arvind,87
kaur,87
direction,87
prateik,87
