1_grams,Frequency
bad,185
monaco,185
fails,185
boxers,184
yadav,184
youngsters,184
dope,184
course,184
central,184
half,184
family,184
hayden,183
reaches,183
hunt,183
ind,183
sangakkara,183
fighting,183
mind,183
2011,183
oz,183
know,182
dhawan,182
free,182
bags,182
symonds,182
sunrisers,182
got,182
enough,181
missing,181
much,181
targets,181
wrestling,181
cavs,181
task,181
feature,180
bindra,180
perfect,180
dies,180
tamil,180
played,180
thriller,180
decide,180
body,179
mexico,179
chhetri,179
spieth,179
absence,179
minister,178
days,178
dortmund,178
getting,178
kom,178
irfan,178
costa,177
scare,177
rise,177
fresh,177
fires,177
green,177
ryder,177
major,177
week,176
controversy,176
north,176
bank,176
replace,176
itf,176
struggling,176
fined,175
golden,175
straight,175
ever,175
stand,174
crucial,174
vows,174
friendly,174
march,174
kane,173
king,173
crashes,173
card,173
losing,173
wary,172
indo,172
sees,172
blow,172
shiv,172
scandal,172
nationals,171
chappell,171
hong,171
5th,171
boy,170
talk,170
suarez,170
seal,170
visit,170
yuki,170
nadu,170
blatter,170
hearing,170
kong,169
brothers,169
domestic,169
sydney,169
shastri,169
blames,168
b,168
bengaluru,168
age,167
finally,167
races,167
fine,167
del,167
class,167
fan,166
fed,166
night,166
dropped,166
wi,166
historic,166
14,165
paris,165
anti,165
roma,165
miandad,165
begin,165
tn,164
find,164
announces,164
today,163
usa,163
copa,163
champ,163
position,162
slow,162
carlsen,162
momentum,161
chinese,161
wada,160
knock,160
fall,160
venus,160
mi,160
showdown,160
welcome,160
schedule,160
ground,160
step,160
crush,159
draws,159
million,159
lot,159
issues,159
europa,158
magic,158
semifinal,158
sub,158
juve,158
prove,157
cook,157
coaching,157
goals,157
mixed,157
zidane,157
wanted,156
wells,156
powers,156
awaits,156
notice,156
pochettino,156
cavaliers,156
fail,156
rohan,156
wawrinka,156
son,155
aus,155
toss,155
chase,155
quits,155
shield,155
wrong,154
improve,154
vettel,154
shoots,154
pull,154
chris,154
appointed,153
50,153
positive,153
clt20,153
kashyap,153
park,153
corruption,153
celtic,153
thunder,152
bring,152
confidence,152
nine,152
duleep,151
sport,151
lions,151
problem,151
qualifying,151
suspended,151
ticket,151
lankan,151
prakash,151
napoli,150
government,150
12,150
trouble,150
book,150
talent,150
nets,149
gautam,149
stays,149
whatmore,148
praises,148
sunday,148
clean,148
sushil,148
fast,147
offer,147
elections,146
hip,146
month,146
wales,145
changes,145
system,144
hil,144
talks,144
joint,144
villiers,144
district,144
000,144
woes,144
lebron,143
john,143
crisis,143
main,143
sixth,143
umpire,143
buchanan,143
saurashtra,142
send,142
chowrasia,142
trip,142
chances,142
flintoff,142
gopichand,142
nothing,142
rodgers,141
legal,141
surprise,141
father,141
remain,141
blasts,140
making,140
rights,140
complete,140
umpires,140
gangjee,140
triple,140
karthik,140
rivals,140
champs,140
eyeing,140
elite,139
ecb,139
patil,139
crowd,139
ham,139
always,139
revenge,138
betting,138
helped,138
sends,138
leg,138
boxer,137
rafael,137
refuses,137
anderson,137
lucky,137
mayweather,137
till,137
rosberg,136
thomas,136
retains,136
avoid,136
many,136
waugh,136
novak,136
shane,136
nishikori,136
t20i,135
afghanistan,135
11,135
supreme,135
misbah,135
wozniacki,135
division,134
huge,134
sweep,134
newcastle,134
pacquiao,134
hussey,134
storms,134
bowler,133
country,133
surgery,133
referee,133
bulls,132
13,132
questions,132
jct,132
swiss,132
train,132
cash,132
rises,132
hosts,132
croatia,131
feel,131
valencia,131
doubtful,131
tt,131
spinners,131
trio,131
demands,131
offers,130
maradona,130
birthday,130
replaces,130
pride,130
party,130
wright,130
18,129
member,129
kallis,129
ratna,129
drop,129
lajong,129
fears,129
hands,129
houghton,129
europe,129
upsets,128
cruise,128
leander,128
pair,128
swing,128
ligue,128
ddca,128
guides,128
bow,127
striker,127
bundesliga,127
arrive,127
venue,127
lara,127
pole,127
advantage,127
kyrgios,127
experience,127
threatens,127
cost,127
fightback,127
shuttler,126
bats,126
charges,126
honours,126
hazare,126
ongc,126
uefa,126
kxip,125
viswanathan,125
suffer,125
promises,125
amid,125
hopeful,125
hoping,124
downs,124
canada,124
franchise,124
conditions,124
farewell,124
kick,124
biggest,124
slip,123
date,123
bag,123
batsman,123
lyon,123
expects,123
worry,123
guns,123
st,122
people,122
maria,122
arrives,122
bale,121
mccullum,121
chennaiyin,121
extend,121
use,121
ibrahimovic,121
emerge,121
moment,121
around,120
tv,120
honour,120
taylor,120
passes,120
tickets,120
asiad,120
qureshi,120
30,120
chirag,120
colombia,120
disappointed,120
rejects,119
pm,119
nehra,119
vettori,119
given,119
froome,119
aita,118
proud,118
ousted,118
rashid,118
indonesia,118
kerber,118
ride,118
jayawardene,118
control,118
billiards,118
mp,118
virender,118
winners,118
legend,118
eves,118
athlete,117
srikkanth,117
luck,117
rukh,117
wizards,117
meets,117
jr,117
orissa,117
months,117
shows,117
pellegrini,117
sevilla,117
praise,117
drops,117
suresh,117
act,116
lord,116
little,116
american,116
jaipur,116
contest,116
hurt,116
suspension,116
favourite,116
k,116
fielding,116
blame,116
survives,116
reveals,116
clinches,116
unhappy,116
kevin,116
lakh,115
coming,115
learn,115
fastest,115
america,115
centre,115
remains,115
retire,115
chand,115
light,115
maintain,115
eager,115
jharkhand,115
missed,115
low,114
stake,114
save,114
talking,114
opens,114
di,114
earn,114
tax,114
highest,113
taking,113
yusuf,113
era,113
allegations,113
wife,113
coa,113
kids,113
waqar,113
closer,113
woman,112
al,112
cards,112
records,112
opportunity,112
rivalry,112
also,112
worried,112
skip,112
mallya,111
uae,111
battles,111
confirms,111
format,111
chile,111
villa,110
pankaj,110
volleyball,110
heads,110
done,110
unlikely,110
brings,110
participation,110
ab,110
prize,110
launch,110
