1_grams,Frequency
sterling,96
dives,96
promises,96
diamond,96
majors,96
fargo,96
buzz,96
intraday,96
snaps,95
forbes,95
min,95
agrees,95
parts,95
unveil,95
getting,95
sends,95
sezs,95
book,95
game,95
homes,94
freight,94
lines,94
fake,94
shortage,94
decade,94
leader,94
areas,94
invites,94
tn,94
recast,94
shop,94
telco,94
shanghai,94
customer,94
solutions,93
age,93
hurdle,93
independent,93
kicks,93
corporates,93
choppy,93
salaries,93
arcelormittal,93
laws,93
pakistan,93
fourth,93
tackle,93
gsm,93
flow,92
shock,92
easier,92
mines,92
toll,92
governance,92
smaller,92
laundering,92
phones,92
replace,92
fines,92
ipl,92
systems,92
wheeler,92
atm,91
wll,91
awaits,91
cutting,91
operating,91
shourie,91
mou,91
globally,91
dr,91
eco,91
covering,91
phase,91
logistics,91
announce,91
unitech,91
bitcoin,91
lanka,91
2020,90
jindal,90
10k,90
nirav,90
orissa,90
bans,90
tribunal,90
nris,90
hp,90
richest,90
default,90
comm,90
demands,90
guidelines,89
longer,89
graft,89
benelux,89
privatisation,89
mauritius,89
retain,89
nclt,89
nhai,89
named,89
diageo,89
coca,89
upgrade,89
shopping,89
foods,89
63,89
store,89
lack,89
doubles,89
cme,89
tries,89
sports,89
carbon,89
mop,88
agri,88
metal,88
petro,88
infotech,88
florida,88
slams,88
countries,88
vc,88
communications,88
streak,88
republicans,88
tickets,88
employee,88
average,88
breaks,88
lawmakers,88
lg,88
fires,88
arvind,88
posco,88
biotech,87
59,87
federal,87
jsw,87
left,87
tips,87
committee,87
tests,87
charts,87
pune,87
tamil,87
71,87
peru,87
07,87
forms,87
agencies,87
audi,87
max,87
aai,86
protect,86
01,86
rnrl,86
bidding,86
swift,86
epfo,86
engine,86
monthly,86
harvest,86
indiatimes,86
95,86
digit,86
developers,86
hiked,86
pound,86
std,86
reality,86
sentiment,86
fpis,86
scrap,86
duties,85
volumes,85
auctions,85
members,85
subsidiary,85
counter,85
refuses,85
launched,85
lease,85
video,85
aircel,85
problem,85
sluggish,85
nadu,85
goa,85
cess,85
etihad,85
medical,85
kolkata,85
hand,85
extended,85
philippine,85
probes,85
scales,85
shareholder,85
centres,85
wire,85
blackberry,85
select,84
91,84
protest,84
pwc,84
gears,84
ventures,84
passenger,84
breach,84
opposition,84
expo,84
nalco,84
wk,84
metals,84
eyeing,84
cas,83
cftc,83
republican,83
fashion,83
course,83
islamic,83
fipb,83
agents,83
mode,83
sterlite,83
forces,83
sharing,83
widens,83
damage,83
reaches,83
mexican,83
trouble,83
got,83
guidance,83
entrepreneurs,83
flyers,82
cbdt,82
corus,82
valued,82
sachs,82
firmer,82
resume,82
pass,82
address,82
nsel,82
78,82
bangladesh,82
friday,82
exec,82
maintain,82
border,82
indiabulls,82
ap,82
purchase,81
bps,81
rajasthan,81
2019,81
deputy,81
kumar,81
promoter,81
fta,81
generic,81
romania,81
least,81
consolidation,81
yahoo,81
neutral,81
republic,81
schools,81
hearing,81
shipping,81
declares,81
affordable,81
size,81
spree,80
4th,80
pacific,80
soybean,80
drags,80
aig,80
jlr,80
snapdeal,80
kemp,80
stakes,80
held,80
withdraw,80
mtn,80
financing,80
scrips,80
06,80
2003,80
pfizer,80
worried,80
restart,80
slaps,80
tracking,80
ifci,80
information,80
77,80
2007,79
death,79
cheer,79
aditya,79
inch,79
wage,79
shriram,79
opposes,79
misses,79
chicago,79
sourcing,79
adviser,79
highway,79
ub,79
resources,79
roy,79
bars,79
79,79
nbfcs,79
moots,79
resolve,79
signal,79
nine,78
sinks,78
un,78
idfc,78
regulators,78
men,78
common,78
surprise,78
earn,78
offices,78
saving,78
tightens,78
using,78
wholesale,78
programme,78
crr,78
proposed,78
raja,78
stanley,78
wb,78
tower,78
railway,78
verdict,77
bar,77
syria,77
clients,77
opportunities,77
construction,77
partnership,77
bombay,77
regain,77
npa,77
settles,77
attacks,77
97,77
nri,77
shale,77
5k,77
books,77
cup,77
terminal,77
appointed,76
2002,76
position,76
oppose,76
transport,76
forays,76
powers,76
israel,76
rice,76
spice,76
92,76
distribution,76
also,76
dumping,76
raw,76
reduction,76
86,76
hungary,76
guilty,76
evasion,76
spike,75
tuesday,75
levy,75
bargain,75
pie,75
tank,75
eps,75
qtr,75
philips,75
son,75
confident,75
parliament,75
parekh,75
durables,75
arms,75
infuse,75
fis,75
passes,75
pegs,75
mul,75
plane,75
mukherjee,75
standard,75
mills,75
difficult,74
borrowing,74
channels,74
choice,74
arbitration,74
super,74
sharp,74
administration,74
jaswant,74
commodities,74
dealers,74
icra,74
taj,74
facing,74
piramal,74
arrest,74
dairy,73
isd,73
fats,73
zero,73
expands,73
coai,73
manage,73
leadership,73
presence,73
iii,73
bob,73
pf,73
69,73
muted,73
engineering,73
rupees,73
creditors,73
separate,73
protection,73
structure,73
retreats,73
hr,72
speculators,72
subscribed,72
immigration,72
upa,72
usfda,72
momentum,72
opportunity,72
81,72
spur,72
sri,72
allowed,72
turnaround,72
offing,72
generation,72
royal,72
portability,72
rose,72
caution,72
corruption,72
freeze,72
owners,72
weaken,71
arcelor,71
overhaul,71
norm,71
houston,71
closed,71
jun,71
suggests,71
western,71
customs,71
eight,71
cause,71
coo,71
pilot,71
limits,70
terms,70
jain,70
king,70
workforce,70
producers,70
czech,70
statement,70
fortune,70
gic,70
84,70
mood,70
storage,70
doha,70
lodha,70
grasim,70
history,70
83,70
halt,70
cisco,70
downgrades,70
nilekani,70
narayana,70
compliance,69
bccl,69
think,69
opt,69
introduce,69
introduces,69
disney,69
shuts,69
fleet,69
remove,69
following,69
thailand,69
litre,69
v,69
rejigs,69
tonnes,69
roads,69
favours,69
dell,69
design,69
subsidies,68
member,68
vrs,68
room,68
debate,68
scrutiny,68
3bn,68
image,68
analysis,68
stops,68
sunil,68
kkr,68
89,68
fds,68
draws,68
completes,68
margin,68
routes,68
cancels,68
vows,68
jaguar,68
anand,68
era,68
daewoo,68
narendra,68
try,68
mrpl,68
illegal,68
derivatives,68
82,68
forward,68
retreat,68
closer,68
students,68
divest,67
music,67
bpl,67
date,67
hunt,67
2bn,67
insolvency,67
brazilian,67
wary,67
houses,67
pmo,67
spirits,67
fuels,67
gates,67
4g,67
bombardier,67
moving,67
threaten,67
robust,67
chart,67
ambanis,67
raised,67
volume,67
receives,67
offload,66
closure,66
dead,66
de,66
shrinks,66
area,66
complex,66
blames,66
switch,66
jail,66
advisory,66
mortgage,66
goyal,66
dollars,66
execs,66
prospects,66
citizens,66
rover,66
quick,66
favour,66
ikea,66
ms,66
refiners,66
user,66
blow,66
sikka,66
child,66
debit,66
iim,65
guarantee,65
halts,65
builders,65
ipcl,65
solution,65
shines,65
pares,65
glut,65
visas,65
jitters,65
fair,65
volvo,65
finally,65
clarity,65
entertainment,65
sea,65
emerges,65
adag,65
trusts,65
chair,65
sms,65
harassment,65
amul,65
kuwait,65
liquor,65
hours,65
zoom,65
petronet,64
wave,64
750,64
mergers,64
emissions,64
owned,64
secy,64
2005,64
channel,64
refineries,64
civil,64
mirchi,64
haldia,64
happy,64
stress,64
founders,64
icai,64
cipla,64
auditors,64
1000,64
oracle,64
consumption,64
120,64
washington,64
beef,64
notices,64
benchmark,64
giving,64
turmoil,64
peers,64
pumps,64
99,63
wrong,63
rajkot,63
biocon,63
prefer,63
reviews,63
petition,63
hyd,63
missing,63
transaction,63
87,63
minimum,63
g20,63
admits,63
urban,63
setting,63
epf,63
onion,63
cpi,63
pledges,63
urge,63
thomson,63
letter,63
crashes,63
scraps,63
pradesh,63
optimism,63
professionals,63
lock,63
borrowings,62
hospitals,62
brace,62
multiple,62
love,62
ropes,62
cricket,62
voda,62
etf,62
helped,62
beer,62
writes,62
advertising,62
authority,62
jpmorgan,62
weakness,62
exemption,62
gom,62
tyre,62
increased,62
ranks,62
seeking,62
operation,61
tyres,61
trigger,61
micro,61
groups,61
stanchart,61
defends,61
britannia,61
niti,61
drl,61
nepal,61
manesar,61
spends,61
giants,61
highlights,61
milk,61
offering,61
euros,61
94,61
defaults,61
parent,61
spanish,61
entities,61
citigroup,61
88,61
20k,61
premiums,61
pitch,61
crew,61
jaypee,61
colombia,61
scrip,61
wsj,61
frauds,61
considering,61
warning,61
draw,60
valley,60
novartis,60
15k,60
owner,60
telenor,60
greater,60
advances,60
qtrly,60
voice,60
protests,60
garment,60
2000,60
fy17,60
mp,60
billionaire,60
rescue,60
views,60
friendly,60
subbarao,60
barclays,60
jets,60
capex,60
hybrid,60
downgrade,60
alibaba,60
catch,60
film,60
98,60
moily,60
cool,60
setback,60
smes,60
arrested,60
kyc,59
plains,59
